name,institution,course_url,course_id,id,promedio_rating
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,601.0,4.7505223568742165
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,602.0,4.813614262560778
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,603.0,4.92840428180234
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,604.0,4.776182791132252
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,1.0,4.931034482758621
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,2.0,4.819466248037677
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,4.0,4.581781591401654
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,5.0,4.6452454853273135
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,6.0,4.843550624133148
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,7.0,4.734439834024896
Psychological First Aid,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid,psychological-first-aid,8.0,4.865379598225933
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,9.0,4.775888111888112
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,10.0,4.632664674918196
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,11.0,4.8064022446116565
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,12.0,4.771139705882353
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,13.0,4.386792452830188
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,14.0,4.897669706180345
Writing in the Sciences,Stanford University,https://www.coursera.org/learn/sciwrite,sciwrite,15.0,4.927483241925655
Stanford Introduction to Food and Health,Stanford University,https://www.coursera.org/learn/food-and-health,food-and-health,16.0,4.70971259443882
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,17.0,4.760450160771704
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,18.0,4.895534327796339
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,https://www.coursera.org/learn/negotiation,negotiation,19.0,4.918815331010453
"Everyday Excel, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/everyday-excel-part-1,everyday-excel-part-1,20.0,4.829021372328459
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,https://www.coursera.org/learn/learning-how-to-learn,learning-how-to-learn,21.0,4.802138540213854
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,https://www.coursera.org/learn/gcp-fundamentals,gcp-fundamentals,22.0,4.716958393113343
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,https://www.coursera.org/learn/wharton-contagious-viral-marketing,wharton-contagious-viral-marketing,23.0,4.75952582557155
